data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7079458,887,YEM52333,52333,"09 May 2020",2020,1,Protests,"Peaceful protest","Protesters (Yemen)","STC: Southern Transitional Council",6,,,0,60,"Middle East",Yemen,Abyan,Zingibar,,Zinjibar,13.1287,45.3807,1,"Aden al Ghad",Subnational,"On 9 May 2020, people in Zinijbar (Zingibar, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen. [size=no report]",0,1589229240,YEM
7079454,887,YEM52331,52331,"09 May 2020",2020,1,Protests,"Peaceful protest","Protesters (Yemen)","STC: Southern Transitional Council",6,,,0,60,"Middle East",Yemen,Abyan,Ahwar,,Ahwar,13.5202,46.7137,1,"Aden al Ghad",Subnational,"On 9 May 2020, people in Ahwar (Ahwar, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen. [size=no report]",0,1589229240,YEM
7079451,887,YEM52332,52332,"09 May 2020",2020,1,Protests,"Peaceful protest","Protesters (Yemen)","STC: Southern Transitional Council",6,,,0,60,"Middle East",Yemen,Abyan,Mudiyah,,Mudiyah,13.9284,46.0825,1,"Aden al Ghad",Subnational,"On 9 May 2020, people in Mudiyah (Mudiyah, Abyan) participated in a STC-organized demonstration in support of the STC's declaration of self-administration in South Yemen and against alleged corruption of the pro-Hadi government. [size=no report]",0,1589229240,YEM
7079434,887,YEM52336,52336,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Southern Resistance",1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Bab Ghaliq",13.925,44.6493,2,"26 September News - Pro-Hadi",National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",3,1589229240,YEM
7079429,887,YEM52348,52348,"09 May 2020",2020,1,"Strategic developments","Change to group/activity","Military Forces of Yemen (2016-) Supreme Political Council",,1,,,0,10,"Middle East",Yemen,Hajjah,"Hajjah City",,Hajjah,15.6943,43.6058,3,"26 September News - Pro-Hadi",National,"On 9 May 2020, Houthi reinforcements reportedly arrived at various fronts in Hajjah governorate. The composition and precise locations of the reinforcements was not reported.",0,1589229240,YEM
7079428,887,YEM52337,52337,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Southern Resistance",1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Jabal Murays",13.9667,44.6833,2,"26 September News - Pro-Hadi",National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",3,1589229240,YEM
7079427,887,YEM52349,52349,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)",,1,11,"Middle East",Yemen,Lahij,"Al Qabbaytah",,"Jabal al Kirsh",13.412,44.4846,2,"26 September News - Pro-Hadi",National,"On 9 May 2020, Houthi forces reportedly exchanged artillery with pro-Hadi forces on the fronts of Jabal al Kirsh front (Al Qabbaytah, Lahij), Bab Ghaliq (Qaatabah, Ad Dali), and Jabal Murays (Qaatabah, Ad Dali), incurring fatalities. Unclear fatalities coded as 10 and spread between 3 locations.",4,1589229240,YEM
7079425,887,YEM52361,52361,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","STC: Southern Transitional Council",1,"Military Forces of Yemen (2012-)",,1,11,"Middle East",Yemen,Suqutra,Hidaybu,,Hadibu,12.6501,54.0223,1,"Yemen Data Project; Yemen Press","Local partner-National","On 9 May 2020, clashes erupted between soldiers of the 1st Naval Infantry brigade loyal to pro-STC forces and other soldiers of the same brigade hailing from Suqutra island. 1 soldier from the Suqutra faction was injured during the clashes.",0,1589229240,YEM
7079424,887,YEM52360,52360,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,11,"Middle East",Yemen,Sanaa,Nihm,,"Al Madid",15.6445,44.4734,2,"Mareb Press; Yemen Data Project","Local partner-National","On 9 May 2020, clashes erupted between pro-Houthi forces and pro-Hadi and affiliated forces, including the Popular Resistance, on the Sirwah (Marib), Nihm (Sanaa), and Al Jawf frontlines. The clashes resulted in more than 20 pro-Houthi elements killed, including prominent leaders and supervisors of the Houthi movement. 20 fatalities split up between 3 events.",7,1589229240,YEM
7079423,887,YEM52359,52359,"09 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sadah,Sahar,,"Al Khafji",16.9861,43.6798,2,"Ansar Allah; Yemen Data Project","Local partner-National","On 9 May 2020, 4 Saudi-led coalition airstrikes reportedly targeted An Naqa area (Sahar, Sadah). No fatalities nor injuries reported.",0,1589229240,YEM
7079422,887,YEM52358,52358,"09 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Operation Restoring Hope","Military Forces of Saudi Arabia (2015-)",8,"Civilians (Yemen)",,7,78,"Middle East",Yemen,Sadah,Razih,,"An Nazir",16.9092,43.2623,2,"Ansar Allah; Yemen Data Project","Local partner-National","On 9 May 2020, Saudi forces reportedly fired artillery and rockets at residential villages in Raizh district (Sadah), injuring a child. No fatalities nor injuries reported.",0,1589229240,YEM
7079421,887,YEM52357,52357,"09 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sadah,"Al Dhaher",,"Al Malahit",16.7685,43.2758,2,"Yemen Data Project; Ansar Allah","Local partner-National","On 9 May 2020, 3 Saudi-led coalition airstrikes reportedly targeted Al Dhaher district (Saah). No fatalities nor injuries reported.",0,1589229240,YEM
7079420,887,YEM52356,52356,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,11,"Middle East",Yemen,Marib,Sirwah,,"Suq Sirwah",15.4493,45.0189,2,"Mareb Press; Yemen Data Project","Local partner-National","On 9 May 2020, clashes erupted between pro-Houthi forces and pro-Hadi and affiliated forces, including the Popular Resistance, on the Sirwah (Marib), Nihm (Sanaa), and Al Jawf frontlines. The clashes resulted in more than 20 pro-Houthi elements killed, including prominent leaders and supervisors of the Houthi movement. 20 fatalities split up between 3 events.",7,1589229240,YEM
7079419,887,YEM52355,52355,"09 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Marib,Sirwah,,"Suq Sirwah",15.4493,45.0189,2,"Ansar Allah; Yemen Data Project","Local partner-National","On 9 May 2020, 4 Saudi-led coalition airstrikes reportedly targeted Sirwah district (Marib). No fatalities nor injuries reported.",0,1589229240,YEM
7079418,887,YEM52354,52354,"09 May 2020",2020,1,"Strategic developments","Change to group/activity","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Marib,Marib,,"At Tadawin",15.6,45.3333,1,"Mocha News; Yemen Data Project","Local partner-National","On 9 May 2020, Saudi-led coalition reinforcements, including vehicles armored with caliber 50mm weapons, reportedly reached the coalition base in At Tadawin (Marib).",0,1589229240,YEM
7079417,887,YEM52353,52353,"09 May 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Marib,Majzar,,Majzar,15.85,44.775,2,"Yemen News Agency (SABA) - Pro-Houthi; Yemen Data Project","Local partner-National","On 9 May 2020, 6 Saudi-led coalition airstrikes reportedly targeted Majzar district (Marib). No fatalities nor injuries reported.",0,1589229240,YEM
7079416,887,YEM52352,52352,"09 May 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Civilians (Yemen)",,7,17,"Middle East",Yemen,Marib,Mahliyah,,Qaniyah,14.5712,45.27,2,"Yemen Data Project; Khabar News Agency (Yemen)","Local partner-National","On 9 May 2020, pro-Houthi forces reportedly fired BMP shells at An Najar village in Qaniyah area (Mahliyah, Marib), hitting a civilian house and killing a woman.",1,1589229240,YEM
7079415,887,YEM52351,52351,"09 May 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Popular Resistance",1,11,"Middle East",Yemen,Marib,Mahliyah,,Qaniyah,14.5712,45.27,2,"Al Khabar Post; Yemen Data Project","Local partner-National","On 9 May 2020, pro-Hadi and tribal affiliated forces (coded as Popular Resistance) reportedly thwarted a pro-Houthi incursion on the Qaniyah frontline (Mahliyah, Marib) and gained control over important positions, killing several pro-Houthi elements and causing them equipment losses. Unknown number of fatalities coded as 10.",10,1589229240,YEM
7079414,887,YEM52350,52350,"09 May 2020",2020,1,"Violence against civilians",Attack,"Unidentified Armed Group (Yemen)",,3,"Civilians (Yemen)","Police Forces of Yemen (2012-)",7,37,"Middle East",Yemen,Lahij,Tuban,,"Al Anad",13.2106,44.785,2,"Yemen Window; Yemen Data Project","Local partner-National","On 9 May 2020, 2 unidentified armed men carried out a drive-by shooting on the main road of Abr Badr area (Tuban, Lahij), targeting a member of the governorate's security while he was travelling in his car, injuring his son.",0,1589229240,YEM
